
# Efinity Interface Configuration
# Version: 2023.2.307.5.10
# Date: 2024-11-09 23:11

# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.

# [required | optional] (input|output|clkout), x, y, z, __bypass__|[~|!]<clock>, [[~|!]<pin_name>] | __vcc__ | __gnd__
clkout, 130, 148, -1, io_memoryClk
clkout, 0, 41, -1, io_systemClk
clkout, 0, 43, -1, io_systemClk
clkout, 0, 66, -1, io_systemClk
clkout, 0, 67, -1, io_systemClk
clkout, 0, 69, -1, io_systemClk
clkout, 0, 70, -1, io_systemClk
output, 130, 263, 0, __bypass__, io_ddrA_arw_payload_addr[28]
output, 130, 264, 0, __bypass__, io_ddrA_arw_payload_addr[29]
output, 130, 265, 0, __bypass__, io_ddrA_arw_payload_addr[30]
output, 130, 266, 0, __bypass__, io_ddrA_arw_payload_addr[31]
output, 130, 202, 0, __bypass__, io_ddrA_arw_payload_burst[0]
output, 130, 203, 0, __bypass__, io_ddrA_arw_payload_burst[1]
output, 130, 194, 0, __bypass__, io_ddrA_arw_payload_id[0]
output, 130, 195, 0, __bypass__, io_ddrA_arw_payload_id[1]
output, 130, 196, 0, __bypass__, io_ddrA_arw_payload_id[2]
output, 130, 197, 0, __bypass__, io_ddrA_arw_payload_id[3]
output, 130, 198, 0, __bypass__, io_ddrA_arw_payload_id[4]
output, 130, 199, 0, __bypass__, io_ddrA_arw_payload_id[5]
output, 130, 200, 0, __bypass__, io_ddrA_arw_payload_id[6]
output, 130, 201, 0, __bypass__, io_ddrA_arw_payload_id[7]
output, 130, 206, 0, __bypass__, io_ddrA_arw_payload_len[0]
output, 130, 207, 0, __bypass__, io_ddrA_arw_payload_len[1]
output, 130, 208, 0, __bypass__, io_ddrA_arw_payload_len[2]
output, 130, 209, 0, __bypass__, io_ddrA_arw_payload_len[3]
output, 130, 210, 0, __bypass__, io_ddrA_arw_payload_len[4]
output, 130, 211, 0, __bypass__, io_ddrA_arw_payload_len[5]
output, 130, 212, 0, __bypass__, io_ddrA_arw_payload_len[6]
output, 130, 213, 0, __bypass__, io_ddrA_arw_payload_len[7]
output, 130, 204, 0, __bypass__, io_ddrA_arw_payload_lock[0]
output, 130, 205, 0, __bypass__, io_ddrA_arw_payload_lock[1]
output, 130, 214, 0, __bypass__, io_ddrA_arw_payload_size[0]
output, 130, 215, 0, __bypass__, io_ddrA_arw_payload_size[1]
output, 130, 216, 0, __bypass__, io_ddrA_arw_payload_size[2]
output, 130, 217, 0, __bypass__, io_ddrA_arw_payload_write
input, 130, 209, 1, __bypass__, io_ddrA_arw_ready
output, 130, 218, 0, __bypass__, io_ddrA_arw_valid
input, 130, 197, 1, __bypass__, io_ddrA_b_payload_id[0]
input, 130, 198, 1, __bypass__, io_ddrA_b_payload_id[1]
input, 130, 199, 1, __bypass__, io_ddrA_b_payload_id[2]
input, 130, 200, 1, __bypass__, io_ddrA_b_payload_id[3]
input, 130, 201, 1, __bypass__, io_ddrA_b_payload_id[4]
input, 130, 202, 1, __bypass__, io_ddrA_b_payload_id[5]
input, 130, 203, 1, __bypass__, io_ddrA_b_payload_id[6]
input, 130, 204, 1, __bypass__, io_ddrA_b_payload_id[7]
output, 130, 190, 0, __bypass__, io_ddrA_b_ready
input, 130, 207, 1, __bypass__, io_ddrA_b_valid
input, 130, 136, 1, __bypass__, io_ddrA_r_payload_data[0]
input, 130, 137, 1, __bypass__, io_ddrA_r_payload_data[1]
input, 130, 138, 1, __bypass__, io_ddrA_r_payload_data[2]
input, 130, 139, 1, __bypass__, io_ddrA_r_payload_data[3]
input, 130, 140, 1, __bypass__, io_ddrA_r_payload_data[4]
input, 130, 141, 1, __bypass__, io_ddrA_r_payload_data[5]
input, 130, 142, 1, __bypass__, io_ddrA_r_payload_data[6]
input, 130, 143, 1, __bypass__, io_ddrA_r_payload_data[7]
input, 130, 144, 1, __bypass__, io_ddrA_r_payload_data[8]
input, 130, 145, 1, __bypass__, io_ddrA_r_payload_data[9]
input, 130, 146, 1, __bypass__, io_ddrA_r_payload_data[10]
input, 130, 147, 1, __bypass__, io_ddrA_r_payload_data[11]
input, 130, 148, 1, __bypass__, io_ddrA_r_payload_data[12]
input, 130, 149, 1, __bypass__, io_ddrA_r_payload_data[13]
input, 130, 150, 1, __bypass__, io_ddrA_r_payload_data[14]
input, 130, 151, 1, __bypass__, io_ddrA_r_payload_data[15]
input, 130, 152, 1, __bypass__, io_ddrA_r_payload_data[16]
input, 130, 153, 1, __bypass__, io_ddrA_r_payload_data[17]
input, 130, 154, 1, __bypass__, io_ddrA_r_payload_data[18]
input, 130, 154, 3, __bypass__, io_ddrA_r_payload_data[19]
input, 130, 155, 1, __bypass__, io_ddrA_r_payload_data[20]
input, 130, 155, 3, __bypass__, io_ddrA_r_payload_data[21]
input, 130, 156, 1, __bypass__, io_ddrA_r_payload_data[22]
input, 130, 156, 3, __bypass__, io_ddrA_r_payload_data[23]
input, 130, 157, 1, __bypass__, io_ddrA_r_payload_data[24]
input, 130, 157, 3, __bypass__, io_ddrA_r_payload_data[25]
input, 130, 158, 1, __bypass__, io_ddrA_r_payload_data[26]
input, 130, 158, 3, __bypass__, io_ddrA_r_payload_data[27]
input, 130, 159, 1, __bypass__, io_ddrA_r_payload_data[28]
input, 130, 159, 3, __bypass__, io_ddrA_r_payload_data[29]
input, 130, 160, 1, __bypass__, io_ddrA_r_payload_data[30]
input, 130, 160, 3, __bypass__, io_ddrA_r_payload_data[31]
input, 130, 161, 1, __bypass__, io_ddrA_r_payload_data[32]
input, 130, 161, 3, __bypass__, io_ddrA_r_payload_data[33]
input, 130, 162, 1, __bypass__, io_ddrA_r_payload_data[34]
input, 130, 162, 3, __bypass__, io_ddrA_r_payload_data[35]
input, 130, 163, 1, __bypass__, io_ddrA_r_payload_data[36]
input, 130, 163, 3, __bypass__, io_ddrA_r_payload_data[37]
input, 130, 164, 1, __bypass__, io_ddrA_r_payload_data[38]
input, 130, 164, 3, __bypass__, io_ddrA_r_payload_data[39]
input, 130, 165, 1, __bypass__, io_ddrA_r_payload_data[40]
input, 130, 165, 3, __bypass__, io_ddrA_r_payload_data[41]
input, 130, 166, 1, __bypass__, io_ddrA_r_payload_data[42]
input, 130, 166, 3, __bypass__, io_ddrA_r_payload_data[43]
input, 130, 167, 1, __bypass__, io_ddrA_r_payload_data[44]
input, 130, 167, 3, __bypass__, io_ddrA_r_payload_data[45]
input, 130, 168, 1, __bypass__, io_ddrA_r_payload_data[46]
input, 130, 168, 3, __bypass__, io_ddrA_r_payload_data[47]
input, 130, 169, 1, __bypass__, io_ddrA_r_payload_data[48]
input, 130, 169, 3, __bypass__, io_ddrA_r_payload_data[49]
input, 130, 170, 3, __bypass__, io_ddrA_r_payload_data[50]
input, 130, 171, 3, __bypass__, io_ddrA_r_payload_data[51]
input, 130, 172, 3, __bypass__, io_ddrA_r_payload_data[52]
input, 130, 173, 3, __bypass__, io_ddrA_r_payload_data[53]
input, 130, 174, 3, __bypass__, io_ddrA_r_payload_data[54]
input, 130, 175, 3, __bypass__, io_ddrA_r_payload_data[55]
input, 130, 176, 3, __bypass__, io_ddrA_r_payload_data[56]
input, 130, 177, 3, __bypass__, io_ddrA_r_payload_data[57]
input, 130, 178, 3, __bypass__, io_ddrA_r_payload_data[58]
input, 130, 179, 3, __bypass__, io_ddrA_r_payload_data[59]
input, 130, 180, 3, __bypass__, io_ddrA_r_payload_data[60]
input, 130, 181, 3, __bypass__, io_ddrA_r_payload_data[61]
input, 130, 182, 3, __bypass__, io_ddrA_r_payload_data[62]
input, 130, 183, 3, __bypass__, io_ddrA_r_payload_data[63]
input, 130, 184, 3, __bypass__, io_ddrA_r_payload_data[64]
input, 130, 185, 3, __bypass__, io_ddrA_r_payload_data[65]
input, 130, 186, 3, __bypass__, io_ddrA_r_payload_data[66]
input, 130, 187, 3, __bypass__, io_ddrA_r_payload_data[67]
input, 130, 188, 3, __bypass__, io_ddrA_r_payload_data[68]
input, 130, 189, 3, __bypass__, io_ddrA_r_payload_data[69]
input, 130, 190, 3, __bypass__, io_ddrA_r_payload_data[70]
input, 130, 191, 3, __bypass__, io_ddrA_r_payload_data[71]
input, 130, 192, 3, __bypass__, io_ddrA_r_payload_data[72]
input, 130, 193, 3, __bypass__, io_ddrA_r_payload_data[73]
input, 130, 194, 3, __bypass__, io_ddrA_r_payload_data[74]
input, 130, 195, 3, __bypass__, io_ddrA_r_payload_data[75]
input, 130, 196, 3, __bypass__, io_ddrA_r_payload_data[76]
input, 130, 197, 3, __bypass__, io_ddrA_r_payload_data[77]
input, 130, 198, 3, __bypass__, io_ddrA_r_payload_data[78]
input, 130, 199, 3, __bypass__, io_ddrA_r_payload_data[79]
input, 130, 200, 3, __bypass__, io_ddrA_r_payload_data[80]
input, 130, 201, 3, __bypass__, io_ddrA_r_payload_data[81]
input, 130, 202, 3, __bypass__, io_ddrA_r_payload_data[82]
input, 130, 203, 3, __bypass__, io_ddrA_r_payload_data[83]
input, 130, 204, 3, __bypass__, io_ddrA_r_payload_data[84]
input, 130, 205, 3, __bypass__, io_ddrA_r_payload_data[85]
input, 130, 206, 3, __bypass__, io_ddrA_r_payload_data[86]
input, 130, 207, 3, __bypass__, io_ddrA_r_payload_data[87]
input, 130, 208, 3, __bypass__, io_ddrA_r_payload_data[88]
input, 130, 209, 3, __bypass__, io_ddrA_r_payload_data[89]
input, 130, 210, 3, __bypass__, io_ddrA_r_payload_data[90]
input, 130, 211, 3, __bypass__, io_ddrA_r_payload_data[91]
input, 130, 212, 3, __bypass__, io_ddrA_r_payload_data[92]
input, 130, 213, 3, __bypass__, io_ddrA_r_payload_data[93]
input, 130, 214, 3, __bypass__, io_ddrA_r_payload_data[94]
input, 130, 215, 3, __bypass__, io_ddrA_r_payload_data[95]
input, 130, 216, 3, __bypass__, io_ddrA_r_payload_data[96]
input, 130, 217, 3, __bypass__, io_ddrA_r_payload_data[97]
input, 130, 218, 3, __bypass__, io_ddrA_r_payload_data[98]
input, 130, 219, 3, __bypass__, io_ddrA_r_payload_data[99]
input, 130, 220, 3, __bypass__, io_ddrA_r_payload_data[100]
input, 130, 221, 3, __bypass__, io_ddrA_r_payload_data[101]
input, 130, 222, 3, __bypass__, io_ddrA_r_payload_data[102]
input, 130, 223, 3, __bypass__, io_ddrA_r_payload_data[103]
input, 130, 224, 3, __bypass__, io_ddrA_r_payload_data[104]
input, 130, 225, 3, __bypass__, io_ddrA_r_payload_data[105]
input, 130, 226, 3, __bypass__, io_ddrA_r_payload_data[106]
input, 130, 227, 3, __bypass__, io_ddrA_r_payload_data[107]
input, 130, 228, 3, __bypass__, io_ddrA_r_payload_data[108]
input, 130, 229, 3, __bypass__, io_ddrA_r_payload_data[109]
input, 130, 230, 3, __bypass__, io_ddrA_r_payload_data[110]
input, 130, 231, 3, __bypass__, io_ddrA_r_payload_data[111]
input, 130, 232, 3, __bypass__, io_ddrA_r_payload_data[112]
input, 130, 233, 3, __bypass__, io_ddrA_r_payload_data[113]
input, 130, 250, 1, __bypass__, io_ddrA_r_payload_data[114]
input, 130, 251, 1, __bypass__, io_ddrA_r_payload_data[115]
input, 130, 252, 1, __bypass__, io_ddrA_r_payload_data[116]
input, 130, 253, 1, __bypass__, io_ddrA_r_payload_data[117]
input, 130, 254, 1, __bypass__, io_ddrA_r_payload_data[118]
input, 130, 255, 1, __bypass__, io_ddrA_r_payload_data[119]
input, 130, 256, 1, __bypass__, io_ddrA_r_payload_data[120]
input, 130, 257, 1, __bypass__, io_ddrA_r_payload_data[121]
input, 130, 258, 1, __bypass__, io_ddrA_r_payload_data[122]
input, 130, 259, 1, __bypass__, io_ddrA_r_payload_data[123]
input, 130, 260, 1, __bypass__, io_ddrA_r_payload_data[124]
input, 130, 261, 1, __bypass__, io_ddrA_r_payload_data[125]
input, 130, 262, 1, __bypass__, io_ddrA_r_payload_data[126]
input, 130, 263, 1, __bypass__, io_ddrA_r_payload_data[127]
input, 130, 212, 1, __bypass__, io_ddrA_r_payload_id[0]
input, 130, 213, 1, __bypass__, io_ddrA_r_payload_id[1]
input, 130, 214, 1, __bypass__, io_ddrA_r_payload_id[2]
input, 130, 215, 1, __bypass__, io_ddrA_r_payload_id[3]
input, 130, 216, 1, __bypass__, io_ddrA_r_payload_id[4]
input, 130, 217, 1, __bypass__, io_ddrA_r_payload_id[5]
input, 130, 218, 1, __bypass__, io_ddrA_r_payload_id[6]
input, 130, 219, 1, __bypass__, io_ddrA_r_payload_id[7]
input, 130, 220, 1, __bypass__, io_ddrA_r_payload_last
input, 130, 221, 1, __bypass__, io_ddrA_r_payload_resp[0]
input, 130, 222, 1, __bypass__, io_ddrA_r_payload_resp[1]
output, 130, 191, 0, __bypass__, io_ddrA_r_ready
input, 130, 223, 1, __bypass__, io_ddrA_r_valid
output, 130, 148, 0, __bypass__, io_ddrA_w_payload_data[0]
output, 130, 148, 2, __bypass__, io_ddrA_w_payload_data[1]
output, 130, 149, 0, __bypass__, io_ddrA_w_payload_data[2]
output, 130, 149, 2, __bypass__, io_ddrA_w_payload_data[3]
output, 130, 150, 0, __bypass__, io_ddrA_w_payload_data[4]
output, 130, 150, 2, __bypass__, io_ddrA_w_payload_data[5]
output, 130, 151, 0, __bypass__, io_ddrA_w_payload_data[6]
output, 130, 151, 2, __bypass__, io_ddrA_w_payload_data[7]
output, 130, 152, 0, __bypass__, io_ddrA_w_payload_data[8]
output, 130, 152, 2, __bypass__, io_ddrA_w_payload_data[9]
output, 130, 153, 0, __bypass__, io_ddrA_w_payload_data[10]
output, 130, 153, 2, __bypass__, io_ddrA_w_payload_data[11]
output, 130, 154, 0, __bypass__, io_ddrA_w_payload_data[12]
output, 130, 154, 2, __bypass__, io_ddrA_w_payload_data[13]
output, 130, 155, 0, __bypass__, io_ddrA_w_payload_data[14]
output, 130, 155, 2, __bypass__, io_ddrA_w_payload_data[15]
output, 130, 156, 0, __bypass__, io_ddrA_w_payload_data[16]
output, 130, 156, 2, __bypass__, io_ddrA_w_payload_data[17]
output, 130, 157, 0, __bypass__, io_ddrA_w_payload_data[18]
output, 130, 157, 2, __bypass__, io_ddrA_w_payload_data[19]
output, 130, 158, 0, __bypass__, io_ddrA_w_payload_data[20]
output, 130, 158, 2, __bypass__, io_ddrA_w_payload_data[21]
output, 130, 159, 0, __bypass__, io_ddrA_w_payload_data[22]
output, 130, 159, 2, __bypass__, io_ddrA_w_payload_data[23]
output, 130, 160, 0, __bypass__, io_ddrA_w_payload_data[24]
output, 130, 160, 2, __bypass__, io_ddrA_w_payload_data[25]
output, 130, 161, 0, __bypass__, io_ddrA_w_payload_data[26]
output, 130, 161, 2, __bypass__, io_ddrA_w_payload_data[27]
output, 130, 162, 0, __bypass__, io_ddrA_w_payload_data[28]
output, 130, 162, 2, __bypass__, io_ddrA_w_payload_data[29]
output, 130, 163, 0, __bypass__, io_ddrA_w_payload_data[30]
output, 130, 163, 2, __bypass__, io_ddrA_w_payload_data[31]
output, 130, 164, 0, __bypass__, io_ddrA_w_payload_data[32]
output, 130, 164, 2, __bypass__, io_ddrA_w_payload_data[33]
output, 130, 165, 0, __bypass__, io_ddrA_w_payload_data[34]
output, 130, 165, 2, __bypass__, io_ddrA_w_payload_data[35]
output, 130, 166, 0, __bypass__, io_ddrA_w_payload_data[36]
output, 130, 166, 2, __bypass__, io_ddrA_w_payload_data[37]
output, 130, 167, 0, __bypass__, io_ddrA_w_payload_data[38]
output, 130, 167, 2, __bypass__, io_ddrA_w_payload_data[39]
output, 130, 168, 0, __bypass__, io_ddrA_w_payload_data[40]
output, 130, 168, 2, __bypass__, io_ddrA_w_payload_data[41]
output, 130, 169, 0, __bypass__, io_ddrA_w_payload_data[42]
output, 130, 169, 2, __bypass__, io_ddrA_w_payload_data[43]
output, 130, 170, 0, __bypass__, io_ddrA_w_payload_data[44]
output, 130, 170, 2, __bypass__, io_ddrA_w_payload_data[45]
output, 130, 171, 0, __bypass__, io_ddrA_w_payload_data[46]
output, 130, 171, 2, __bypass__, io_ddrA_w_payload_data[47]
output, 130, 172, 0, __bypass__, io_ddrA_w_payload_data[48]
output, 130, 172, 2, __bypass__, io_ddrA_w_payload_data[49]
output, 130, 173, 2, __bypass__, io_ddrA_w_payload_data[50]
output, 130, 174, 2, __bypass__, io_ddrA_w_payload_data[51]
output, 130, 175, 2, __bypass__, io_ddrA_w_payload_data[52]
output, 130, 176, 2, __bypass__, io_ddrA_w_payload_data[53]
output, 130, 177, 2, __bypass__, io_ddrA_w_payload_data[54]
output, 130, 178, 2, __bypass__, io_ddrA_w_payload_data[55]
output, 130, 179, 2, __bypass__, io_ddrA_w_payload_data[56]
output, 130, 180, 2, __bypass__, io_ddrA_w_payload_data[57]
output, 130, 181, 2, __bypass__, io_ddrA_w_payload_data[58]
output, 130, 182, 2, __bypass__, io_ddrA_w_payload_data[59]
output, 130, 183, 2, __bypass__, io_ddrA_w_payload_data[60]
output, 130, 184, 2, __bypass__, io_ddrA_w_payload_data[61]
output, 130, 185, 2, __bypass__, io_ddrA_w_payload_data[62]
output, 130, 186, 2, __bypass__, io_ddrA_w_payload_data[63]
output, 130, 187, 2, __bypass__, io_ddrA_w_payload_data[64]
output, 130, 188, 2, __bypass__, io_ddrA_w_payload_data[65]
output, 130, 189, 2, __bypass__, io_ddrA_w_payload_data[66]
output, 130, 190, 2, __bypass__, io_ddrA_w_payload_data[67]
output, 130, 191, 2, __bypass__, io_ddrA_w_payload_data[68]
output, 130, 192, 2, __bypass__, io_ddrA_w_payload_data[69]
output, 130, 193, 2, __bypass__, io_ddrA_w_payload_data[70]
output, 130, 194, 2, __bypass__, io_ddrA_w_payload_data[71]
output, 130, 195, 2, __bypass__, io_ddrA_w_payload_data[72]
output, 130, 196, 2, __bypass__, io_ddrA_w_payload_data[73]
output, 130, 197, 2, __bypass__, io_ddrA_w_payload_data[74]
output, 130, 198, 2, __bypass__, io_ddrA_w_payload_data[75]
output, 130, 199, 2, __bypass__, io_ddrA_w_payload_data[76]
output, 130, 200, 2, __bypass__, io_ddrA_w_payload_data[77]
output, 130, 201, 2, __bypass__, io_ddrA_w_payload_data[78]
output, 130, 202, 2, __bypass__, io_ddrA_w_payload_data[79]
output, 130, 203, 2, __bypass__, io_ddrA_w_payload_data[80]
output, 130, 204, 2, __bypass__, io_ddrA_w_payload_data[81]
output, 130, 205, 2, __bypass__, io_ddrA_w_payload_data[82]
output, 130, 206, 2, __bypass__, io_ddrA_w_payload_data[83]
output, 130, 207, 2, __bypass__, io_ddrA_w_payload_data[84]
output, 130, 208, 2, __bypass__, io_ddrA_w_payload_data[85]
output, 130, 209, 2, __bypass__, io_ddrA_w_payload_data[86]
output, 130, 210, 2, __bypass__, io_ddrA_w_payload_data[87]
output, 130, 211, 2, __bypass__, io_ddrA_w_payload_data[88]
output, 130, 212, 2, __bypass__, io_ddrA_w_payload_data[89]
output, 130, 213, 2, __bypass__, io_ddrA_w_payload_data[90]
output, 130, 214, 2, __bypass__, io_ddrA_w_payload_data[91]
output, 130, 215, 2, __bypass__, io_ddrA_w_payload_data[92]
output, 130, 216, 2, __bypass__, io_ddrA_w_payload_data[93]
output, 130, 217, 2, __bypass__, io_ddrA_w_payload_data[94]
output, 130, 218, 2, __bypass__, io_ddrA_w_payload_data[95]
output, 130, 219, 2, __bypass__, io_ddrA_w_payload_data[96]
output, 130, 220, 2, __bypass__, io_ddrA_w_payload_data[97]
output, 130, 221, 2, __bypass__, io_ddrA_w_payload_data[98]
output, 130, 222, 2, __bypass__, io_ddrA_w_payload_data[99]
output, 130, 223, 2, __bypass__, io_ddrA_w_payload_data[100]
output, 130, 224, 2, __bypass__, io_ddrA_w_payload_data[101]
output, 130, 225, 2, __bypass__, io_ddrA_w_payload_data[102]
output, 130, 226, 2, __bypass__, io_ddrA_w_payload_data[103]
output, 130, 227, 2, __bypass__, io_ddrA_w_payload_data[104]
output, 130, 228, 2, __bypass__, io_ddrA_w_payload_data[105]
output, 130, 229, 2, __bypass__, io_ddrA_w_payload_data[106]
output, 130, 230, 2, __bypass__, io_ddrA_w_payload_data[107]
output, 130, 231, 2, __bypass__, io_ddrA_w_payload_data[108]
output, 130, 232, 2, __bypass__, io_ddrA_w_payload_data[109]
output, 130, 233, 2, __bypass__, io_ddrA_w_payload_data[110]
output, 130, 250, 2, __bypass__, io_ddrA_w_payload_data[111]
output, 130, 251, 2, __bypass__, io_ddrA_w_payload_data[112]
output, 130, 252, 2, __bypass__, io_ddrA_w_payload_data[113]
output, 130, 253, 2, __bypass__, io_ddrA_w_payload_data[114]
output, 130, 254, 2, __bypass__, io_ddrA_w_payload_data[115]
output, 130, 255, 2, __bypass__, io_ddrA_w_payload_data[116]
output, 130, 256, 2, __bypass__, io_ddrA_w_payload_data[117]
output, 130, 257, 2, __bypass__, io_ddrA_w_payload_data[118]
output, 130, 258, 2, __bypass__, io_ddrA_w_payload_data[119]
output, 130, 259, 2, __bypass__, io_ddrA_w_payload_data[120]
output, 130, 260, 2, __bypass__, io_ddrA_w_payload_data[121]
output, 130, 261, 2, __bypass__, io_ddrA_w_payload_data[122]
output, 130, 262, 2, __bypass__, io_ddrA_w_payload_data[123]
output, 130, 263, 2, __bypass__, io_ddrA_w_payload_data[124]
output, 130, 264, 2, __bypass__, io_ddrA_w_payload_data[125]
output, 130, 265, 2, __bypass__, io_ddrA_w_payload_data[126]
output, 130, 266, 2, __bypass__, io_ddrA_w_payload_data[127]
output, 130, 139, 2, __bypass__, io_ddrA_w_payload_id[0]
output, 130, 140, 2, __bypass__, io_ddrA_w_payload_id[1]
output, 130, 141, 2, __bypass__, io_ddrA_w_payload_id[2]
output, 130, 142, 2, __bypass__, io_ddrA_w_payload_id[3]
output, 130, 143, 2, __bypass__, io_ddrA_w_payload_id[4]
output, 130, 144, 2, __bypass__, io_ddrA_w_payload_id[5]
output, 130, 145, 2, __bypass__, io_ddrA_w_payload_id[6]
output, 130, 146, 2, __bypass__, io_ddrA_w_payload_id[7]
output, 130, 137, 2, __bypass__, io_ddrA_w_payload_last
output, 130, 132, 0, __bypass__, io_ddrA_w_payload_strb[0]
output, 130, 133, 0, __bypass__, io_ddrA_w_payload_strb[1]
output, 130, 134, 0, __bypass__, io_ddrA_w_payload_strb[2]
output, 130, 135, 0, __bypass__, io_ddrA_w_payload_strb[3]
output, 130, 136, 0, __bypass__, io_ddrA_w_payload_strb[4]
output, 130, 137, 0, __bypass__, io_ddrA_w_payload_strb[5]
output, 130, 138, 0, __bypass__, io_ddrA_w_payload_strb[6]
output, 130, 139, 0, __bypass__, io_ddrA_w_payload_strb[7]
output, 130, 140, 0, __bypass__, io_ddrA_w_payload_strb[8]
output, 130, 141, 0, __bypass__, io_ddrA_w_payload_strb[9]
output, 130, 142, 0, __bypass__, io_ddrA_w_payload_strb[10]
output, 130, 143, 0, __bypass__, io_ddrA_w_payload_strb[11]
output, 130, 144, 0, __bypass__, io_ddrA_w_payload_strb[12]
output, 130, 145, 0, __bypass__, io_ddrA_w_payload_strb[13]
output, 130, 146, 0, __bypass__, io_ddrA_w_payload_strb[14]
output, 130, 147, 0, __bypass__, io_ddrA_w_payload_strb[15]
input, 130, 208, 1, __bypass__, io_ddrA_w_ready
output, 130, 134, 2, __bypass__, io_ddrA_w_valid
input, 91, 483, 1, __bypass__, io_jtag_tck
input, 96, 483, 1, __bypass__, io_jtag_tdi
output, 101, 483, 0, __bypass__, io_jtag_tdo
input, 105, 483, 3, __bypass__, io_jtag_tms
input, 130, 242, 1, __bypass__, io_memoryClk
input, 130, 243, 1, __bypass__, io_systemClk
input, 0, 6, 3, __bypass__, jtag_inst1_CAPTURE
input, 0, 2, 3, __bypass__, jtag_inst1_DRCK
input, 0, 4, 3, __bypass__, jtag_inst1_RESET
input, 0, 5, 1, __bypass__, jtag_inst1_RUNTEST
input, 0, 2, 1, __bypass__, jtag_inst1_SEL
input, 0, 5, 3, __bypass__, jtag_inst1_SHIFT
input, 0, 4, 1, __bypass__, jtag_inst1_TCK
input, 0, 3, 1, __bypass__, jtag_inst1_TDI
output, 0, 2, 0, __bypass__, jtag_inst1_TDO
input, 0, 3, 3, __bypass__, jtag_inst1_TMS
input, 0, 6, 1, __bypass__, jtag_inst1_UPDATE
output, 109, 483, 2, __bypass__, memoryCheckerPass
required output, 124, 0, 2, __bypass__, memoryClk_rstn
optional input, 130, 9, 1, __bypass__, my_ddr_pll_refclk
optional input, 130, 5, 1, __bypass__, my_pll_refclk
input, 125, 483, 1, __bypass__, system_gpio_0_io_read[0]
input, 110, 483, 3, __bypass__, system_gpio_0_io_read[1]
input, 114, 483, 3, __bypass__, system_gpio_0_io_read[2]
input, 115, 483, 1, __bypass__, system_gpio_0_io_read[3]
output, 125, 483, 0, __bypass__, system_gpio_0_io_write[0]
output, 110, 483, 2, __bypass__, system_gpio_0_io_write[1]
output, 114, 483, 0, __bypass__, system_gpio_0_io_write[2]
